iso3,country,year,risk_exposure_index
AFG,Afghanistan,2021,0.3405578764334983
ALB,Albania,2021,0.12478181578586177
ARG,Argentina,2021,0.1085970135298575
AUS,Australia,2021,0.05080239695160388
AUT,Austria,2021,0.051074905025320055
BEL,Belgium,2021,0.0627630481891182
BGR,Bulgaria,2021,0.09632663847760263
BIH,Bosnia and Herzegovina,2021,0.14926847029861798
BOL,Bolivia (Plurinational State of),2021,0.20081962960032498
BRA,Brazil,2021,0.19682541534120182
BRB,Barbados,2021,0.13568446023619504
CAN,Canada,2021,0.16012572018785834
CHE,Switzerland,2021,0.02915242610277333
CHL,Chile,2021,0.12040222093060915
COL,Colombia,2021,0.24062783585459738
CRI,Costa Rica,2021,0.2000344136284902
CYP,Cyprus,2021,0.047309170007523244
CZE,Czechia,2021,0.05736254071597238
DEU,Germany,2021,0.06654037658837982
DOM,Dominican Republic,2021,0.31559841810392714
DZA,Algeria,2021,0.2118546837043104
ECU,Ecuador,2021,0.2781171262910685
ESP,Spain,2021,0.03962005719146028
FJI,Fiji,2021,0.0642669466711683
FRA,France,2021,0.05364938436221841
GHA,Ghana,2021,0.29202980903659176
GRC,Greece,2021,0.08061273049222213
GTM,Guatemala,2021,0.17248496165428748
GUY,Guyana,2021,0.19611689776350108
HKG,"China, Hong Kong Special Administrative Region",2021,0.0009901914238231847
HND,Honduras,2021,0.2716939735907251
HTI,Haiti,2021,0.7822238295582281
IDN,Indonesia,2021,0.18881033489423393
IND,India,2021,0.4449312809771125
ITA,Italy,2021,0.054429275092560174
JPN,Japan,2021,0.03742215365839236
KAZ,Kazakhstan,2021,0.1530470728735148
KEN,Kenya,2021,0.3160110777226839
KOR,Republic of Korea,2021,0.07512068397792333
LCA,Saint Lucia,2021,0.1715260357209123
LUX,Luxembourg,2021,0.04656384986188389
MAR,Morocco,2021,0.20473346771955914
MEX,Mexico,2021,0.19459497415341956
MKD,North Macedonia,2021,0.06381043561882012
MMR,Myanmar,2021,0.4388268047323498
MNG,Mongolia,2021,0.147973813145469
MYS,Malaysia,2021,0.16394362950729066
NAM,Namibia,2021,0.28870287567383424
NLD,Netherlands (Kingdom of the),2021,0.03969433126600099
NZL,New Zealand,2021,0.07404107461148834
OMN,Oman,2021,0.12070243842884687
PAK,Pakistan,2021,0.19158917084742075
PAN,Panama,2021,0.10411147001383984
PER,Peru,2021,0.15563812061284352
POL,Poland,2021,0.07552596450230363
PRY,Paraguay,2021,0.24742696487704438
ROU,Romania,2021,0.11121380261049117
RUS,Russian Federation,2021,0.1261401151327937
SLV,El Salvador,2021,0.26947894661887845
SRB,Serbia,2021,0.08278588048428254
SUR,Suriname,2021,0.18407661270818163
SVK,Slovakia,2021,0.07078208359226511
SVN,Slovenia,2021,0.06338977951981198
SWE,Sweden,2021,0.028063074584620918
SWZ,Eswatini,2021,0.3001062072196032
THA,Thailand,2021,0.27256611471735587
TUR,TÃ¼rkiye,2021,0.11026169937522616
UGA,Uganda,2021,0.1911597527751049
UKR,Ukraine,2021,0.14264580534493337
USA,United States of America,2021,0.27010199325090856
UZB,Uzbekistan,2021,0.11086076168231597
VCT,Saint Vincent and the Grenadines,2021,0.11214195757079204
VEN,Venezuela (Bolivarian Republic of),2021,0.30344256027113164
ZAF,South Africa,2021,0.601736936883429
ZWE,Zimbabwe,2021,0.3693723118890495
